Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6
JRE420H1,UTSG,Fall_2014,LEC0103,55,18,2.4,2.5,2.8,2.7,2.8,2.3,3,2,3,3,2.5,2.5,3,"1,2","1,4","1,4",4,3,1.3,1.3,1.5,1.3,1.5,1.2
JRE420H1,UTSG,Fall_2015,LEC0103,54,14,3.2,3.1,3.6,3.2,3.2,2.8,3,3,4,3,3,3,4,4,4,3,"3,",2,1.1,1.2,1,0.9,1,1.1
JRE420H1,UTSG,Fall_2016,LEC0103,55,37,2.5,2.8,3.8,3,3.1,2.7,2.5,3,4,3,3,3,3,3,5,4,3,3,1.1,1.1,1.2,1,1,1
JRE420H1,UTSG,Fall_2017,LEC0103,53,14,2.8,3.6,3.6,3.1,3.2,3.1,3,4,4,3,3,3,4,4,"3,4",4,"2,3","3,4",1.3,1.1,1,1.3,1.1,1.1
JRE420H1,UTSG,Summer_2014,LEC0101,48,20,3.5,3.6,4,3.5,3.4,3.4,4,4,4,4,4,4,3,4,5,"4,",4,4,1.2,1.1,0.9,1.3,1.4,1.3
JRE420H1,UTSG,Winter_2015,LEC0103,52,16,2.4,2.1,2.3,2.4,2.5,2.3,3,2,2,2,2,2,3,2,1,1,1,"1,3",1.1,1,1.4,1.6,1.7,1.2
JRE420H1,UTSG,Winter_2017,LEC0103,55,31,2.9,3.2,3.4,2.9,3,2.8,3,3,4,3,3,3,3,4,4,4,3,3,1.2,1.2,1,1.1,1.1,1.1
JRE420H1,UTSG,Winter_2018,LEC0103,46,14,3.7,4,4.3,4.1,4.1,3.9,4,4,4,4,4,4,"3,4",4,"4,5",4,4,4,0.9,0.9,0.7,0.7,0.7,0.8
MGHB02H3,UTSC,Fall_2015,LEC01,62,18,2.6,2.7,3.2,2.8,2.9,2.6,3,3,4,3,3,3,"1,4",1,4,"3,",3,"2,3",1.4,1.4,1.4,1.2,1.3,1.2
MGHB02H3,UTSC,Fall_2016,LEC01,52,28,2.7,2.8,2.9,2.5,2.8,2.4,2.5,3,3,2.5,3,2,2,3,4,3,"2,3",2,1.2,1.2,1.4,1.1,1.3,1.3
